title	author	startpage	pages	volume	number	year	month	isbn	issn	journal
Benedicta: An Editorial	Aman, Reinhold	1	1--8	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Word for It!	Legman, G.	9	9--18	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Airborn(e) Bullshit	Jerome, E. A. “Jerry”	18	18	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Malas Palabras}: Talking Dirty in {Cuban} {Spanish}	P., A. and M., G.	19	19--22	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Origin of Our Strongest Taboo-Word	Shipley, Joseph T.	23	23--29	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Toalley and Keech	B., Arsee	29	29--30	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Malediction and Psycho-Semantic Theory: The Case of {Yiddish}	Matisoff, James A.	31	31--39	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Dostoyevsky on the Meaning of Humanity	Friedman, Victor A.	40	40	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Macedonian Toponomastics: Popular Etymologies and Etymological Popularities	Friedman, Victor A.	41	41--42	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Increment and Excrement: Céline and the Language of Hate	Luce, Stanford	43	43--48	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Vagina Reginæ	Sedley, Maurice	48	48	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
He Shot Her with Great Stones: Prominent Sexual Metaphors in the Non-{Shakespearean} Drama of {Renaissance} {England}	Henke, James T.	49	49--62	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Philologist's Prayer	Philippe, Robert St. Vincent	62	62	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Italian and {Venitian} Profanity	Averna, Giuliano and Legman, G.	63	63--64	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Phonesthesis and Scatology: A Brief Résumé of Phonesthetic Devices Occurring in Obscene {English} Expressions	Wescott, Roger W.	65	65	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Newly Printable Game of Stinky-Pink (Party-Rhymes)	Wescott, Rogert W.	66	66	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
On {Christian}–{Moslem} Relations in the {Balkans}	Razvratnikov, Boris Sukitch	68	68	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Latent Accusative Tendencies in the {Skopje} Dialect, Or Where to Go and What to Do with It in {North}-Central {Macedonia}	Razvratnikov, Boris Sukitch	69	69--73	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
How to Judge People's Character by Their Farting Styles	Herrera, L.	73	73--74	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Three Lexicographic Notes on Individuation	Đông, Quang Phúc	75	75--76	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Belaboring the Obvious: Sarcastic Interrogative Affirmatives and Negatives	Doyle, Charles Clay	77	77--82	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
An Onomastic Questionnaire	Aman, Reinhold	83	83--101	1	1	1977	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Dedication	Aman, Reinhold	109	109--110	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Legman: The King of {X700}	Jackson, Bruce	111	111--124	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Aggression in Children's Jokes	McCosh, Sandra	125	125--132	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dirty Dingby	Court, Wesli	132	132	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Seasoned Curse	Court, Wesli	132	132	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Xenophobic Ethnica	Algeo, John	133	133--140	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Attacking Deviations from the Norm: Poetic Insults in {Bono} ({Ghana})	Warren, Dennis M. and Brempong, Owusu	141	141--166	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Defining One's Terms: ({E})sc(h)atology	Messing, G. M.	167	167	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Shytte: A Close-Stool Medytacyon	Rowley, Thomas	168	168	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
San {Clemente}! {A} Modest Plea	Matthews, Roy T.	169	169--172	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Analysis of a Four-Letter Word	Fleming, Margaret	173	173--184	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Turco-Slavica	Friedman, Victor A.	185	185--188	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Paths of Pathos: The Urethral in Speech	Feldman, A. Bronson	189	189--200	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Prostituta} in {Modern} {Italian}: {I}. {Suffixation} and the Semantic Field	Radtke, Edgar	201	201--110	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
An Humble Predacity upon the \emph{{Corpus}} of {Erica} {Jong}	Clark, John R.	211	211--213	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Topographectomy	Bardis, Panos D.	213	213	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Lines Written in Contempt of Change, and in the Perfervid Hope That Men Will Embrace Eternal Verities	Suhor, Charles	214	214	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Onomastics of the Rabble	Closson, David L.	215	215--233	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Doing Research with Dirty Words	Jay, Timothy B.	234	234--256	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dual Meanings in the Language of Technology	Friedman, Norman B.	257	257--260	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Note on {English} Sexual Cursing	Gregersen, Edgar A.	261	261--268	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Keeks, Kikes, Kooks and Courrèges	Tamony, Peter	269	269--282	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Roman Hands Gave Us the Verbal Finger: Graffiti and Literary Form	Kehl, D. G.	283	283--292	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dialogue between a Pederast and a Libertine	Philippe, Robert Saint-Vincent	293	293--315	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
An Unsuspected Etymology Revealed	R.S.V.P.	316	316	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Taxonomy of the Provenance of Metaphorical Terms of Abuse	Aman, Reinhold	317	317--322	1	2	1977	Winter	0-916500-51-9	0363-3659	Maledicta: The International Journal of Verbal Aggression
Benedicta: An Editorial	Aman, Reinhold	7	7--14	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Graffiti as a Field of Folklore	Read, Allen Walker	15	15--31	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Catullus {XLI}	Salemi, Joseph	32	32	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Greek Gays Have a Word for It	Demakopoulos, Steve A.	33	33--39	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
George {Carlin's} “{Milwaukee} {Six}”	Aman, Reinhold	40	40--41	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Male and Female Rest Room Graffiti	Alexander, Bob	42	42--59	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Sacré Quebec: {French}-{Canadian} Profanities	Huston, Nancy	60	60--66	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Common Patient-Directed Pejoratives Used by Medical Personnel	Scheiner, C. J.	67	67--70	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Fate of Some Ethnonyms in {Czech}	Priestly, Tom M. S.	71	71--78	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
How to Become a Cacademic Scribe; Or, Publish and Perish the Thought	Fischer, Lee	79	79--83	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Maledizione}: {Italian} Profanity	K., K. J.	84	84--86	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Secret of Humor	Feinberg, Leonard	87	87--110	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Talking Backwards about Sex (etc.) in {Thai}	Gandour, Jackson T.	111	111--114	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Cockney's Horn Book: The Sexual Side of Rhyming Slang	Ashley, Leonard R. N.	115	115--120	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
On the Indirect Resolution of an Empirical Question by Evidence from a Slip of the Tongue during Performance of an Idiom, and Other Matters	FitzJames, DelHole	121	121--128	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Hašofet Ben Zona: {Israeli} Soccer Cheers and Jeers	Gil, David	129	129--145	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
God's Plenty	Baird, Joseph L.	146	146--148	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Cynical Ode	Carver, Michael	148	148	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
How to Hate Thy Neighbor: A Guide to Racist Maledicta	Clifton, Merritt	149	149--174	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Entomology	Clifton, Merritt	174	174	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Note on Two {Tuscan} Curses: \emph{{Dio} {Faust}} and \emph{{Dio} {Mottarello}}	Falassi, Alessandro	175	175--176	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Blow below the Belt: {Hamlet's} Crude Insult	Doyle, Charles Clay	177	177--181	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Bibliological Maledictions Revisited	Thompson, Lawrence S.	182	182--188	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Participant Swearing in {Australian} Rules Football	Dabke, Roswitha	189	189--205	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
On Swearing Apes	Hill, Archibald A.	206	206--207	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Two Neighbors' Laundry	Penushliski, Kiril and Friedman, Victor A.	208	208--209	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
What Do You Call a Sex-Pack?	Christopher, Richard	210	210--212	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Faex Delenda Est}	Cogswell, Theodore R.	213	213--214	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Maledicta Research Made Easy: Methods and Mini-Questionnaire	Aman, Reinhold	215	215--228	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Change the Name of {Arkansas}?} {Senator} {Johnson's} Great Speech	Hoffmann, Frank A.	229	229--230	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Letter from an {Irish} Woman in {Dublin} to Her Cousin in {New} {York}	Anonymous	231	231	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Quirk \& Anti-{Quirk}	Aman, Reinhold	232	232--238	2	1\&2	1978	Summer and Winter	0-916500-52-7	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dedication	Aman, Reinhold	5	5	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Man-to-Man: {Aman} Interviews {Borneman}	Aman, Reinhold	7	7--23	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Ode to Those Four-Letter Words	{[Author unknown]}	24	24--25	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Some Examples of the Historical Insult Grevious in Contemporary {Ireland}	O Broin, Fiach	26	26--28	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Subliminal Obscenity in \emph{{Candide}}	Scanlan, Timothy M.	29	29--36	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
On a Too Broad Etymology of \emph{Broad}	Henke, James T.	37	37--38	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Yoruba Terms Denoting Individual and Social Shortcomings	Warren, D. M. and Abioye-Salami, Tijani and Warren, Mary S.	39	39--54	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Equation of Coital Vulgarisms with Personal and Social Transgressions	Kanin, Eugene J.	55	55--57	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Nelson {Rockefeller} and \emph{{Mort} {Douce}}	Monteiro, Lois	58	58--60	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Future Shout: Name-Calling in the Future	Halaby, Raouf and Long, Carolyn	61	61--68	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Portuguese Nicknames	Aman, Reinhold and Monteiro, George	69	69--70	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Self-Image through Imagery: Black Arts Poets and the Politics of Excrement	Collins, Terence	71	71--84	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Jews, {Janes}, and Jesters in a Classic Commentary on the {Qur'ân}	Ha-Yeroḥāmī, Raḥāmīm	85	85--86	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Studies in \emph{{Gitano}} Social Ecology: Conflict and Verbal Abuse	Mulcahy, F. David	87	87--100	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Protestant Marriage Vows Revised	Hughes, John	101	101--102	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Πυγμή-Φαλλός: Fist-Phallus	Petropoulos, Elias and Legman, Gershon	103	103--107	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
Impure Mathematics	{[Author unknown]}	108	108--109	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Rhetoric of Hispanic Machismo: A Historical Perspective	Zlotchew, Clark M.	110	110--122	3	1	1979	Summer	0-916500-53-5	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{New, Improved Dreck!} {Interlingual} Taboo in Personal Names, Brand Names, and Language Learning	Aman, Reinhold	145	145--152	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Glossary of Ethnic Slurs in {American} {English}	Eisiminger, Sterling	153	153--174	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Magic Walking Stick	Randolph, Vance and Legman, Gershon	175	175--176	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Toward a Typology of Verbal Abuse: Naming Dead Kin in Northwestern {California}	Bright, William	177	177--181	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Canadian Slurs, Ethnic and Other	Colombo, John Robert	182	182--184	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Hamlet Maledictum	Crist, Clifford Mortimer	185	185--192	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Taboo-Boo Word Revisited	Christopher, Richard	195	195--196	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Elementary {Russian} Obscenity	Razvratnikov, Boris Sukitch	197	197--204	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Dingbatted Maledicta: Symbolic Euphemisms	Aman, Reinhold	208	208--211	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Kinks and Queens}: Linguistic and Cultural Aspects of the Terminology for \emph{Gays}	Ashley, Leonard R. N.	215	215--256	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
On the Etymology of \emph{Gay}	Aman, Reinhold	257	257--258	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Catullus {XCVII}	Salemi, Joseph	259	259--260	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Swiss Swearwords: Epithets in the Alps	Schultz, Amelia Susman	261	261--274	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Academic Graffiti	La Barre, Weston	275	275--276	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Verbal Aggression in {Mexico} {City}	Tierney, Robert W.	277	277--278	3	2	1979	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Clean Up Your Fexing Language! {Or}, How to Swear Violently Without Offending Anyone	Aman, Reinhold	5	5--14	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Great {American} \emph{{Shimpfmeister}}: Hundred Years of {H.} {L.} {Mencken}	Feinberg, Leonard	15	15--21	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
The {Jimmy} {Carter} Statue	{[Author unknown]}	22	22	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Putting Obscene Words into the Dictionary	Steiner, Roger J.	23	23--37	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Medea's Madness	Bardis, Panos	38	38	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Scram! {Or}, 101 Ways to Sack Your Lover	Seits, Laurence E. and Schumacher, Robert M.	39	39--43	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Union Dogs	{[Author unknown]}	44	44	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Semantic Functions of the Allegedly Obscene Particles “{X}” in {Cantonese}	Sou-Mee, Tse and Tao-Lin, Yu	45	45--51	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Sex Life of {Micro} \& {Millie}	{[Author unknown]}	52	52	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Not Sticks and Stones, But Names: More Medical Pejoratives	Monteiro, Lois	53	53--58	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Glossary of Homosexuality	Bardis, Panos D.	59	59--63	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Shrink Shrank Shrunk	Foster, Rick	64	64	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{In a Pig's Eye} and Related Expressions	Cohen, Gerald L. and Germano, Ernest	65	65--70	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Look, Ma, What's Become of the Sacred Tongues	Arbeitman, Yoël	71	71--88	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Don't Call a Fruiterer a Fruiter (Unless He Is One)	Onomasticon, Melanchthon	89	89--90	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Prosodic Influences on the Meaning of \emph{Leck mich am {Arsch}} in {Bavarian}	Zintl, Josef	91	91--95	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Stretching a Dime	{[Author unknown]}	96	96	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Wool and Eggs	Gil, David	97	97--98	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Carajo} and {Hispanic} Congeners in {Borrow}, {Byron}, {Ford}, and {Scott}	Knowlton, Jr., Edgar C.	99	99--107	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
What's Your Sign, Sucker?	Isović, Zack	108	108	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Coprolite, Urolite, and “Vomite”	Wood, Gordon D.	109	109--115	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Pussy Café	{[Author unknown]}	116	116	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Racial and Ethnic Slurs: Regional Awareness and Variations	French, Laurence	117	117--126	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Bibliography of {G.} {Legman}	McLeish, John	127	127--138	4	1	1980	Summer		0363-3659	Maledicta: The International Journal of Verbal Aggression
Lethal Limericks	Crist, Clifford Mortimer	161	161--166	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Brief Survey of Some Unofficial Prosigns Used by The {United} {States} {Armed} {Forces}	Cragg, Dan	167	167--173	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Louisianans Do It Bayoutifully	Aman, Reinhold	174	174--179	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
An Unpublished Seventeenth-Century Epitaph, and a {Byronic} Query	Baker, Donald C.	180	180	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
A New Erotic Vocabulary	Healey, Tim	181	181--201	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Dinner Dansant \emph{Menu}	{[Author unknown]}	202	202	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Goats and Monkeys! {A} Guide to Beastly Invective	Rowland, Beryl	203	203--212	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Vulva: A Psycholinguistic Problem	Ash, Mildred	213	213--219	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Naming the Vulvar Part	Hankey, Clyde	220	220--222	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
“{Lovely}, Blooming, Fresh and Gay”: The Onomastics of Camp	Ashley, Leonard R. N.	223	223--248	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Wet Dreams and the Ejaculate	Moller, Herbert	249	249--251	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Yugoslavia, Here {I} Come!	Aman, Reinhold	252	252--257	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Meta-Graffiti	Fraser, Bruce	258	258--260	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
A Survey of {Russian} Obscenities and Invective Usage	Kauffman, Charles A.	261	261--289	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
The Real Dictionary	Whitman, Walt	290	290	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Putting the \emph{{U}} in \emph{{FCC}}	Kemp, Pamela J.	291	291--297	4	2	1980	Winter		0363-3659	Maledicta: The International Journal of Verbal Aggression
Laudationes \emph{{Maledictæ}}	Crist, C. M.	6	6	5	1\&2	1981	Summer and Winter	0-916500-25-X	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dedication	Aman, Reinhold	7	7--10	5	1\&2	1981	Summer and Winter	0-916500-25-X	0363-3659	Maledicta: The International Journal of Verbal Aggression
Elias Petropoulos, the \emph{{Mounópsira}}	Taylor, John	10	10--24	5	1\&2	1981	Summer and Winter	0-916500-25-X	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Rebetic Songs	Taylor, John	25	25--30	5	1\&2	1981	Summer and Winter	0-916500-25-X	0363-3659	Maledicta: The International Journal of Verbal Aggression
